OBJECTID_12,OBJECTID_1,OBJECTID,Beats,District,Beats_0,Area_sq_mi,Perimet_mi,Shape_Leng,ShapeSTArea,ShapeSTLength
1,1,104,23J40,23,23J40,3.03933481,9.25498366,48866.3137417,84731452.6930257,48866.3137416472
2,2,105,23J50,23,23J50,2.12389492,7.15363891,37771.2134411,59210555.3117838,37771.2134410901
3,3,1,1A10,1,01A10,1.74646692,6.23670909,32929.8239993,48688508.6308267,32929.8239993005
4,4,2,1A20,1,01A20,2.44133075,7.95335178,41993.6973885,68060123.036161,41993.6973884803
5,5,3,1A30,1,01A30,2.65916892,8.02635453,42379.1519253,74133078.2989697,42379.1519253415
6,6,4,1A40,1,01A40,2.45016686,9.01071178,47576.5582068,68306458.456077,47576.5582068094
7,7,5,1A50,1,01A50,3.04553452,10.69938223,56592.3522802,85898773.4824846,56592.3522802603
8,8,6,2A10,2,02A10,3.30928608,9.1661977,48397.5238595,92257232.0473533,48397.5238595387
9,9,7,2A20,2,02A20,1.8876461,7.18955626,37960.8570729,52624342.5034225,37960.857072922
10,10,8,2A30,2,02A30,4.65858171,9.62366929,50812.9738417,129873284.699937,50812.9738416263
11,11,9,2A40,2,02A40,1.60546103,5.59670496,29550.6021779,44757505.7489189,29550.6021779749
12,12,10,2A50,2,02A50,5.4659844,13.64476441,72324.090557,153212426.928765,72324.0905570171
13,13,11,2A60,2,02A60,4.67447346,10.02619298,52938.2989374,130316319.613056,52938.2989373501
14,14,12,3B10,3,03B10,6.82068773,11.99939205,63356.7900136,190149100.130263,63356.7900135664
15,15,13,3B30,3,03B30,5.310372,10.9302323,57711.6265303,148044082.634653,57711.6265302806
16,16,14,3B40,3,03B40,3.40013561,8.05960642,42554.7218834,94789961.4452142,42554.7218834004
17,17,15,3B50,3,03B50,3.85259517,9.34636604,49348.8126759,107403759.593533,49348.8126758662
18,18,16,5F10,5,05F10,3.25978513,8.08900972,42709.9713254,90877230.1765002,42709.9713254096
19,19,17,5F30,5,05F30,8.70689439,16.07647309,84883.7778947,242733006.54603,84883.3572983339
20,20,18,6B10,6,06B10,5.50084827,11.45653651,60490.5127523,153354235.02482,60490.5127523685
21,21,19,6B20,6,06B20,6.12869477,13.56628683,71629.9944711,170857520.812719,71629.9944710986
22,22,20,6B30,6,06B30,7.2300685,21.69246278,114536.203496,201561935.476645,114536.203496113
23,23,21,6B40,6,06B40,5.544689,16.6805728,88073.4243664,154576549.269516,88073.3773708127
24,24,22,22B30,22,22B30,2.8264671,10.59978234,55966.8507752,78797057.5021493,55966.8502117644
25,25,23,22B20,22,22B20,4.61158268,24.27173891,128154.781439,128563028.462361,128154.774958122
26,26,24,7C10,7,07C10,3.47828324,8.86558696,46810.2991685,96968583.6620699,46810.2991684965
27,27,25,7C20,7,07C20,7.08575157,11.09794389,58597.1437145,197538626.359064,58597.1437145183
28,28,26,7C30,7,07C30,4.51719841,9.233793,48754.427022,125931760.491715,48754.4270219574
29,29,27,7C40,7,07C40,3.36786526,23.32183927,123139.311348,93890319.2205132,123139.311348103
30,30,28,22B40,22,22B40,13.03325001,65.02838415,343349.868303,363344728.643004,343349.827213696
31,31,29,8C10,8,08C10,3.69037316,9.10583443,48078.8058039,102881287.56643,48078.8058038827
32,32,30,8C20,8,08C20,3.36154214,9.4437345,49862.9181463,93714041.4227585,49862.9181463025
33,33,31,8C30,8,08C30,4.6258259,9.78635287,51671.9431461,128960108.888898,51671.9431461083
34,34,32,8C40,8,08C40,4.97945551,10.38542956,54835.0680926,138818697.206676,54835.0680925491
35,35,33,8C50,8,08C50,3.31739498,7.75926019,40968.8938138,92483294.2356999,40968.8938138099
36,36,34,8C60,8,08C60,5.79693312,14.51436865,76635.8664515,161608573.803832,76635.8664515373
37,37,35,9C10,9,09C10,5.21185619,16.15289538,85287.2876254,145297630.356659,85287.2876254046
38,38,36,9C20,9,09C20,7.5383173,15.14318003,79955.9905426,210155384.494769,79955.9905425736
39,39,37,9C30,9,09C30,8.13353768,21.42320543,113114.524681,226749204.188257,113114.508696268
40,40,38,9C40,9,09C40,10.42549456,69.82994917,368702.131635,290644944.938055,368702.13163512
41,41,39,10H10,10,10H10,2.81830654,8.06670623,42592.2088743,78569562.7898695,42592.208874257
42,42,40,10H20,10,10H20,1.75743169,5.97081033,31525.8785398,48994187.6701443,31525.8785398289
43,43,41,10H30,10,10H30,1.02691154,4.60305918,24304.152463,28628536.145918,24304.1524630193
44,44,42,10H40,10,10H40,0.99627062,4.97708272,26278.9967606,27774319.8366999,26278.9967606221
45,45,43,10H50,10,10H50,2.30843079,6.79805543,35893.7326559,64355099.5627374,35893.7326558937
46,46,44,10H60,10,10H60,3.08931006,8.5930362,45371.2311427,86124677.1498132,45371.2311427366
47,47,45,10H70,10,10H70,3.52217952,11.29350127,59629.6866995,98192336.723775,59629.6866995261
48,48,46,10H80,10,10H80,2.73862779,7.58678325,40058.2155481,76348255.5715777,40058.2155480606
49,49,47,11H10,11,11H10,5.31502815,11.79111669,62257.0961178,148173888.002525,62257.0961177964
50,50,48,11H20,11,11H20,3.9311161,9.77085962,51590.1387776,109592788.651248,51590.1387776195
51,51,49,11H30,11,11H30,2.84278059,8.83783983,46663.7942819,79251857.2616856,46663.7942818983
52,52,50,11H40,11,11H40,6.14001938,46.86339972,247438.750535,171173231.62537,247438.750534725
53,53,51,11H50,11,11H50,2.09534157,7.88372663,41626.0766216,58414536.8777767,41626.0766216253
54,54,52,12D10,12,12D10,8.55384717,15.52252692,81958.9421176,238466619.039111,81958.9421176148
55,55,53,12D20,12,12D20,3.83700574,11.95800128,63138.2467563,106969152.92186,63138.2467562651
56,56,54,12D30,12,12D30,3.99301158,10.83761285,57222.595868,111318328.638275,57222.595867975
57,57,55,12D40,12,12D40,9.68663455,22.93609358,121102.574102,270046792.316177,121102.574102293
58,58,56,12D50,12,12D50,8.93327581,15.37616827,81186.1684453,249044439.997417,81186.1684453679
59,59,57,12D60,12,12D60,6.35832041,12.01490384,63438.692273,177259090.596125,63438.6922730479
60,60,58,12D70,12,12D70,5.39156317,12.6927675,67017.8124241,150307461.621915,67017.5249021927
61,61,59,13D10,13,13D10,5.2433708,11.36793092,60022.6752391,146176203.868028,60022.6752390808
62,62,60,13D20,13,13D20,6.66870859,12.23875451,64620.6238082,185912182.005506,64620.6238082482
