"raw_row_number","date","time","location","lat","lng","geocode_source","beat","district","subject_race","subject_sex","type","violation","citation_issued","outcome","speed","posted_speed","vehicle_color","vehicle_make","vehicle_model","raw_race"
"663776",2015-04-20,NA,"WESTPARK AND WILCREST",29.7204132,-95.5714377,"GM","20G30",20,"unknown","male","vehicular","SPEEDING /30 (DISTANCE BETWEEN STREETS) (URBAN DISTRICT)",TRUE,"citation",39,30,"BLK","HOND","CRV","Unknown"
"1192067|1192068|1192770|1193019",2016-06-29,NA,"7900 BELLFORT",29.6723751,-95.2751546,"GM","13D20",13,"white","male","vehicular","FAILURE TO SIGNAL CHANGING LANES|EXPIRED LICENSE NUMBER PLATE; EXPIRED MONTH/YEAR/REGISTRATION TAB IMPROPERLY DISPLAYED|NO VALID DRIVER'S LICENSE - SINGLE BLOCK|FAIL TO SIGNAL FOR RIGHT TURN",TRUE,"citation",NA,NA,"WHITE","CHEVROLET","EQUINOX","White"
"2310495",2019-05-19,14:54:00,"3500 I 69 (EASTEX FRWY)",29.796363,-95.3388405,"SU","7C20",7,NA,"male","vehicular","FAILURE TO DISPLAY A VALID TEXAS DRIVERS LICENSE",TRUE,"citation",NA,NA,"BLK","KIA","4DR",NA
"1853763",2018-04-04,15:03:00,"6700 MARTIN LUTHER KING (SOUTHBOUND)",29.6684146,-95.3373657,"GM","14D30",14,"black","female","vehicular","FAILURE TO WEAR A SEAT BELT RIDING IN A MOTOR VEHICLE - FIFTEEN (15) YEARS OR OLDER",TRUE,"citation",NA,NA,"ONG","STRN","VUE","Black"
"929890",2015-12-03,NA,"1700 SH 6",29.7530621,-95.6446237,"GM","20G80",20,"white","male","vehicular","SPEEDING (DISTANCE BETWEEN BLOCKS)",TRUE,"citation",60,45,"MAR","FORD","F250","White"
"1711161",2017-11-28,NA,"WERNER ST AND E. DELZ ST",29.840113,-95.3945495,"GM","3B40",3,"white","female","vehicular","RUNNING A STOP SIGN - INTERSECTION",TRUE,"citation",NA,NA,"BLUE","ACURA","RDX","White"
"227242|228252",2014-05-20,NA,"8100 HAMMERLY BOULEVARD",29.8109002,-95.4926314,"GM","5F20",5,NA,"male","vehicular","SPEEDING IN SCHOOL ZONE WHILE BEACONS FLASHING.../20|FAILURE TO DISPLAY A VALID TEXAS DRIVERS LICENSE",TRUE,"citation",NA,NA,"TAN","TOYT","CORO",NA
"1680418",2017-10-26,NA,"6450 LAWNDALE",29.7254156,-95.3146352,"GM","11H10",11,"white","female","vehicular","FAILURE TO DISPLAY A VALID TEXAS DRIVERS LICENSE",TRUE,"citation",NA,NA,"SIL","FORD","F-15","White"
"1378910|1379749",2016-12-28,NA,"15100 LEE ROAD",29.9389519,-95.3030219,"GM","22B40",22,"white","male","vehicular","DISPLAY AN EXPIRED TEXAS DRIVER'S LICENSE|FAILURE TO ESTABLISH FINANCIAL RESPONSIBILITY",TRUE,"citation",NA,NA,"RED","INTI","FB W","White"
"1758279|1758280",2018-01-17,11:05:00,"7800 AIRPORT BLVD.",29.6573006,-95.2735942,"GM","23J50",23,"white","male","vehicular","OPER. A (PASSENGER/COMMERICAL) VEH. WITH INSUFFICIENT CLEARANCE FROM THE SURFACE|FAILURE TO ESTABLISH FINANCIAL RESPONSIBILITY",TRUE,"citation",NA,NA,"WHITE","FREIGHTLINER","M210","White"
"2126110",2018-11-26,13:19:00,"IH 10",29.768391,-95.363898,"GM","2A10",2,"white","female","vehicular","SPEEDING (DISTANCE BETWEEN MILE POST# & MILE POST# )",TRUE,"citation",79,60,"GRY","PORS","PANA","White"
"1713453",2017-11-29,NA,"ST JOSEPH PARKWAY AND SMITH STREET",29.7523062,-95.3736971,"GM","1A10",1,"white","female","vehicular","FAIL TO OBEY MUST TURN LEFT SIGN BY GOING STRAIGHT - INTERSECTION",TRUE,"citation",NA,NA,"GLD","TOYT","SIENNA","White"
"2687018",2020-09-23,17:07:00,"8900 CLEARWOOD STREET",29.6404281,-95.2438497,"GM","12D10",12,NA,"female","vehicular","TRANS. A CHILD UNDER EIGHT (8) YEARS OF AGE  W/OUT SAFETY SEAT SYSTEM (SINGLE BLOCK)",TRUE,"citation",NA,NA,"BLK","HYUN","ELAN",NA
"2501335|2501336",2019-11-29,22:10:00,"IH 45 AND GULF BANK ROAD",29.7587193,-95.3748928,"GM","1A10",1,"black","male","vehicular","SPEEDING/ON STREET OR FREEWAY  DISTANCE BETWEEN STREETS|NO MOTOR VEHICLE REGISTRATION TAGS TRAILER, OR SEMITRAILER, EXPIRED/MISSING/IMPROPERLY DISPLAYED   (DIST. BTWN STRTS)",TRUE,"citation",NA,NA,"BLK","CHEV","TAHO","Black"
"909949",2015-11-14,NA,"IH 10",29.768391,-95.363898,"GM","2A10",2,"white","male","vehicular","SPEEDING (DISTANCE BETWEEN MILE POST# & MILE POST# )",TRUE,"citation",70,60,"SIL","LEXS","RX35","White"
"1309826|1310165",2016-10-22,NA,"12300 KUYKENDAHL",29.9647891,-95.4228282,"GM","22B20",22,"black","male","vehicular","EXPIRED LICENSE NUMBER PLATE; EXPIRED MONTH/YEAR/REGISTRATION TAB IMPROPERLY DISPLAYED|FAILURE TO ESTABLISH FINANCIAL RESPONSIBILITY",TRUE,"citation",NA,NA,"TAN","MERCURY","GRAND MARQUIS","Black"
"284373",2014-06-26,NA,NA,NA,NA,NA,NA,NA,"black","male","vehicular","DRIVING WITH LICENSE INVALID(DWLI) PROHIBITED BY ORDER",TRUE,"citation",NA,NA,"GRAY","MAZDA","6","Black"
"130847|131971",2014-03-28,NA,"3400 KASHMERE",29.7910024,-95.3239882,"GM","7C20",7,"white","male","vehicular","NO VALID DRIVER'S LICENSE - SINGLE BLOCK|FAILURE TO ESTABLISH FINANCIAL RESPONSIBILITY",TRUE,"citation",NA,NA,"WHITE","CHEVY","CAV","White"
"2676237",2020-09-06,14:01:00,"IH 10",29.768391,-95.363898,"GM","2A10",2,"white","male","vehicular","SPEEDING (DISTANCE BETWEEN MILE POST# & MILE POST# )",TRUE,"citation",84,60,"BLK","DODGE","RAM","White"
"88156",2014-03-03,NA,"1100 TRUXILLO",29.736637,-95.3796736,"GM","10H40",10,NA,"male","vehicular","NO VEHICLE INSPECTION STICKER",TRUE,"citation",NA,NA,"RED","KIA","SPEC",NA
"717607",2015-05-27,NA,"STELLA LINK RD AND LEESHIRE DRIVE",29.6818849,-95.4400466,"GM","15E30",15,"black","female","vehicular","PROHIBITED U TURN WHERE SIGNS PROHIBIT  INTERSECTION",TRUE,"citation",NA,NA,"BLU","CHEV","IMPA","Black"
"1721668|1721696|1721766",2017-12-08,NA,"300 SOUTH WAYSIDE",29.7349938,-95.3070669,"GM","11H10",11,NA,"male","vehicular","NO VALID DRIVER'S LICENSE - SINGLE BLOCK|DEFECTIVE HEADLIGHTS-ONE OR BOTH|FAILURE TO ESTABLISH FINANCIAL RESPONSIBILITY",TRUE,"citation",NA,NA,"BLUE","MAZDA","MA 5",NA
"765704",2015-07-07,NA,"BELLFORT AND SCOTT",29.6695049,-95.3680286,"GM","14D20",14,"black","male","vehicular","FAILURE TO WEAR A SEAT BELT - FIFTEEN (15) YEARS OR OLDER (INTERSECTION)",TRUE,"citation",NA,NA,"WHI","DODGE","RAM","Black"
"1579411|1579566",2017-06-22,NA,"1 CHELSEA BLVD",29.7302934,-95.3887609,"GM","10H80",10,NA,"female","vehicular","FAILURE TO ESTABLISH FINANCIAL RESPONSIBILITY|FAIL TO DRIVE IN DESIGNATED LANE/NOT DRIVING WITHIN SINGLE LANE/SINGLE BLK - ACCIDENT",TRUE,"citation",NA,NA,"GRAY","FORD","F-150",NA
"892696",2015-10-30,NA,"5000 HOLLISTER",29.8417624,-95.5058602,"GM","5F30",5,NA,"female","vehicular","NO VALID DRIVER'S LICENSE - SINGLE BLOCK",TRUE,"citation",NA,NA,"TAN","TOYOTA","TUNDRA",NA
"2689176",2020-09-26,12:30:00,"8300 WILCREST DR",29.6877296,-95.5706708,"GM","19G10",19,"asian/pacific islander","male","vehicular","FAILURE TO YIELD RIGHT OF WAY ENTERING STREET/EMERGING FROM (DRIVEWAY) (ALLEY) (BUILDING) (PRIVATE ROAD) - ACCIDENT",TRUE,"citation",NA,NA,NA,"TOYOTA","CAMRY","Asian"
"1085534",2016-04-14,NA,"AIRPORT BOULEVARD AND SCOTT STREET",29.6452164,-95.3683174,"GM","14D20",14,"black","male","vehicular","SPEEDING/ON STREET OR FREEWAY  DISTANCE BETWEEN STREETS",TRUE,"citation",50,35,"SIL","INFI","G37","Black"
"745163",2015-06-18,NA,"2300 US 59 SOUTH",29.7524064,-95.3563521,"GM","1A10",1,"white","male","vehicular","DRIVING WHERE PROHIBITED   OVER AN ESPLANADE OR MEDIAN",TRUE,"citation",NA,NA,"BLK","DODG","RAM","White"
"1382520|1382521|1382740",2016-12-31,NA,"0 UNKNOWN",29.7604267,-95.3698028,"GM","1A10",1,NA,"male","vehicular","NO VALID DRIVER'S LICENSE - SINGLE BLOCK|FAILURE TO ESTABLISH FINANCIAL RESPONSIBILITY|EXPIRED LICENSE NUMBER PLATE; EXPIRED MONTH/YEAR/REGISTRATION TAB IMPROPERLY DISPLAYED",TRUE,"citation",NA,NA,"RED","MAZDA","3",NA
